,ID,FoodGroup,Descrip,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,VitA_USRDA,VitB6_USRDA,VitB12_USRDA,VitC_USRDA,VitE_USRDA,Folate_USRDA,Niacin_USRDA,Riboflavin_USRDA,Thiamin_USRDA,Calcium_USRDA,Copper_USRDA,Magnesium_USRDA,Phosphorus_USRDA,Selenium_USRDA,Zinc_USRDA
0,15270.0,Finfish and Shellfish Products,"Crustaceans, shrimp, untreated, raw",85.0,20.1,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.391,0.52,35.0,0.033,214.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0533333333333333,0.0004344444444444,0.0833333333333333,0.3057142857142857,0.0,0.1218181818181818
1,1259.0,Dairy and Egg Products,"Cheese spread, American or Cheddar cheese base, reduced fat",176.0,13.41,8.88,10.71,7.06,0.0,185.0,0.099,1.17,0.0,0.46,0.0,0.153,0.442,0.038,557.0,0.032,0.36,27.0,0.026,931.0,15.5,1.81,0.2055555555555555,0.058235294117647,0.4875,0.0,0.0306666666666666,0.0,0.0095625,0.34,0.0316666666666666,0.4641666666666666,3.5555555555555546e-05,0.0642857142857142,1.33,0.2818181818181818,0.1645454545454545
2,19100.0,Sweets,"Candies, fudge, chocolate, prepared-from-recipe",411.0,2.39,10.41,76.44,73.12,1.7,44.0,0.012,0.09,0.0,0.18,4.0,0.176,0.085,0.026,49.0,0.3289999999999999,1.77,36.0,0.422,71.0,2.5,1.11,0.0488888888888888,0.0070588235294117,0.0375,0.0,0.012,0.01,0.011,0.0653846153846153,0.0216666666666666,0.0408333333333333,0.0003655555555555,0.0857142857142857,0.1014285714285714,0.0454545454545454,0.1009090909090909
3,8228.0,Breakfast Cereals,"Cereals, QUAKER, Instant Oatmeal, raisins, dates and walnuts, dry",371.0,8.82,6.98,72.41,30.85,6.9,0.0,1.197,0.0,0.8,0.55,381.0,11.968,1.017,0.892,297.0,0.364,10.7,92.0,2.224,296.0,16.4,1.94,0.0,0.7041176470588236,0.0,0.0088888888888888,0.0366666666666666,0.9525,0.748,0.7823076923076923,0.7433333333333334,0.2475,0.0004044444444444,0.219047619047619,0.4228571428571429,0.2981818181818181,0.1763636363636363
4,11850.0,Vegetables and Vegetable Products,"Radishes, oriental, cooked, boiled, drained, with salt",17.0,0.67,0.24,3.43,1.83,1.6,0.0,0.038,0.0,15.1,0.0,17.0,0.15,0.023,0.0,17.0,0.1009999999999999,0.15,9.0,0.033,24.0,0.7,0.13,0.0,0.0223529411764705,0.0,0.1677777777777777,0.0,0.0425,0.009375,0.0176923076923076,0.0,0.0141666666666666,0.0001122222222222,0.0214285714285714,0.0342857142857142,0.0127272727272727,0.0118181818181818
5,20054.0,Cereal Grains and Pasta,"Rice, white, glutinous, raw",370.0,6.81,0.55,81.68,0.0,2.8,0.0,0.107,0.0,0.0,0.0,7.0,2.145,0.055,0.18,11.0,0.171,1.6,23.0,0.974,71.0,15.1,1.2,0.0,0.0629411764705882,0.0,0.0,0.0,0.0175,0.1340625,0.0423076923076923,0.15,0.0091666666666666,0.0001899999999999,0.0547619047619047,0.1014285714285714,0.2745454545454545,0.109090909090909
6,8003.0,Breakfast Cereals,"Cereals ready-to-eat, KELLOGG, KELLOGG'S APPLE JACKS",375.0,5.1,3.4,88.2,43.7,9.3,527.0,1.79,5.4,54.0,0.12,594.0,17.9,1.52,1.34,12.0,0.098,16.1,29.0,0.499,70.0,5.6,5.4,0.5855555555555556,1.0529411764705885,2.2500000000000004,0.6,0.008,1.485,1.11875,1.1692307692307693,1.1166666666666667,0.01,0.0001088888888888,0.069047619047619,0.1,0.1018181818181818,0.490909090909091
7,8204.0,Breakfast Cereals,"Cereals ready-to-eat, chocolate-flavored frosted puffed corn",405.0,3.34,3.5,87.2,43.7,3.8,1324.0,1.764,5.29,52.9,0.11,587.0,17.637,1.499,1.3230000000000002,70.0,0.24,15.87,36.0,0.246,141.0,6.5,0.56,1.4711111111111108,1.0376470588235294,2.2041666666666666,0.5877777777777777,0.0073333333333333,1.4675,1.1023125,1.1530769230769229,1.1025,0.0583333333333333,0.0002666666666666,0.0857142857142857,0.2014285714285714,0.1181818181818181,0.0509090909090909
8,19173.0,Sweets,"Gelatin desserts, dry mix, prepared with water",62.0,1.22,0.0,14.19,13.49,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001,0.006,0.0,3.0,0.024,0.02,1.0,0.002,22.0,1.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0025,6.25e-05,0.0046153846153846,0.0,0.0025,2.666666666666667e-05,0.0023809523809523,0.0314285714285714,0.02,0.0009090909090909
9,1071.0,Dairy and Egg Products,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",194.0,3.61,12.72,17.13,17.13,0.0,34.0,0.03,0.26,0.7,0.45,4.0,0.06,0.1169999999999999,0.027,90.0,0.012,0.04,10.0,0.005,86.0,4.8,0.27,0.0377777777777777,0.0176470588235294,0.1083333333333333,0.0077777777777777,0.03,0.01,0.00375,0.09,0.0225,0.075,1.3333333333333332e-05,0.0238095238095238,0.1228571428571428,0.0872727272727272,0.0245454545454545
