,DEP ID,DEP Descrip,BC ID,BC Descrip,FFC ID,FFC Descrip,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g
0,42303.0,"Cheese, muenster, low fat",8615.0,"Cereals ready-to-eat, KELLOGG'S CRUNCHY NUT Golden Honey Nut flakes",9021.0,"Apricots, raw",704.0,32.8,21.89,97.92,46.24
1,42258.0,"Cheese product, pasteurized process, cheddar, reduced fat",18933.0,"Waffle, buttermilk, frozen, ready-to-heat, toasted",9119.0,"Grapefruit, sections, canned, water pack, solids and liquids",585.0,25.6,23.69,68.14,21.18
2,1031.0,"Cheese, neufchatel",28000.0,"KELLOGG'S, EGGO, Mini Muffin Tops, Chocolate Chip",9237.0,"Peaches, canned, water pack, solids and liquids",577.0,14.790000000000001,34.040000000000006,54.7,26.5
3,1215.0,"Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D",18177.0,"Cookies, molasses",9322.0,"Tamarinds, raw",909.0,26.000000000000004,27.5,146.89999999999998,64.42
4,1224.0,"Protein supplement, milk based, Muscle Milk Light, powder",18348.0,"Rolls, dinner, whole-wheat",9073.0,"Cherries, sweet, canned, light syrup pack, solids and liquids",729.0,59.31,16.849999999999998,90.38999999999999,28.25
5,1226.0,"Egg substitute, liquid or frozen, fat free",18150.0,"Cookies, animal crackers (includes arrowroot, tea biscuits)",9517.0,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",542.0,17.02,13.97,87.58999999999999,34.77
6,1019.0,"Cheese, feta",28080.0,"KEEBLER, FUDGE SHOPPE, Deluxe Grahams Cookies",9150.0,"Lemons, raw, without peel",804.0,19.310000000000002,47.379999999999995,80.00999999999999,43.89
7,1001.0,"Butter, salted",28006.0,"KELLOGG'S, CINNABON, Pancakes, Original",9023.0,"Apricots, canned, water pack, without skin, solids and liquids",997.0,6.539999999999999,88.84,48.64,14.96
8,1081.0,"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D",18301.0,"Pie, apple, commercially prepared, enriched flour",9271.0,"Pineapple, canned, extra heavy syrup pack, solids and liquids",376.0,6.1899999999999995,13.09,60.99,20.91
9,1071.0,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",8592.0,"Cereals ready-to-eat, GENERAL MILLS, CHEERIOS, Banana Nut",9124.0,"Grapefruit juice, white, canned, sweetened",615.0,9.69,16.81,112.94999999999999,61.25
10,1179.0,"Sour cream, light",8678.0,"Cereals ready-to-eat, GENERAL MILLS, Apple Cinnamon CHEX",9252.0,"Pears, raw",601.0,8.55,17.19,105.13,35.97
11,1229.0,"Cheese, white, queso blanco",18174.0,"Cookies, graham crackers, chocolate-coated",9106.0,"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, extra heavy syrup, solids and liquids",898.0,24.709999999999997,50.17,92.08,39.059999999999995
12,1092.0,"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",18064.0,"Bread, wheat",9144.0,"Jackfruit, raw",720.0,47.54,4.6,124.12,77.17999999999999
13,1186.0,"Cheese, cream, fat free",8015.0,"Cereals ready-to-eat, POST, COCOA PEBBLES",9309.0,"Rhubarb, frozen, uncooked",523.0,21.04,5.21,98.46,42.38
14,1193.0,KRAFT BREAKSTONE'S Reduced Fat Sour Cream,18159.0,"Cookies, chocolate chip, commercially prepared, regular, higher fat, enriched",9383.0,"Tangerines, (mandarin oranges), canned, juice pack, drained",682.0,10.35,36.76,81.27,47.55
15,1184.0,"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener",18608.0,"KEEBLER, KEEBLER Chocolate Graham SELECTS",9383.0,"Tangerines, (mandarin oranges), canned, juice pack, drained",546.0,11.709999999999999,16.82,88.71,42.25
16,1166.0,"Cheese, mexican, queso asadero",18002.0,"Bagels, plain, toasted, enriched, with calcium propionate (includes onion, poppy, sesame)",9183.0,"Melons, casaba, raw",672.0,34.85,30.080000000000002,66.56,14.380000000000003
17,1129.0,"Egg, whole, cooked, hard-boiled",18317.0,"Pie, egg custard, commercially prepared",9150.0,"Lemons, raw, without peel",394.0,19.18,22.51,31.240000000000002,15.2
18,1031.0,"Cheese, neufchatel",28016.0,"KELLOGG'S, EGGO Protein, Waffles, Homestyle",9503.0,"Apples, raw, gala, with skin",591.0,20.200000000000003,33.1,54.27,16.259999999999998
19,1059.0,"Milk, filled, fluid, with blend of hydrogenated vegetable oils",8504.0,"Cereals ready-to-eat, RALSTON Enriched Wheat Bran flakes",9021.0,"Apricots, raw",421.0,14.940000000000001,7.21,95.63,26.410000000000004
20,1014.0,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",18368.0,Wonton wrappers (includes egg roll wrappers),9056.0,"Boysenberries, canned, heavy syrup",451.0,21.13,1.9100000000000001,86.87,1.85
21,43261.0,"Yogurt, fruit variety, nonfat",18022.0,"Bread, cornbread, dry mix, enriched (includes corn muffin mix)",9195.0,"Olives, pickled, canned or bottled, green",658.0,12.43,27.72,92.34,39.88
22,1217.0,"Yogurt, fruit, low fat, 10 grams protein per 8 ounce, fortified with vitamin D",18082.0,"Bread stuffing, bread, dry mix, prepared",9120.0,"Grapefruit, sections, canned, juice pack, solids and liquids",316.0,8.27,9.77,49.96,29.96
23,1077.0,"Milk, whole, 3.25% milkfat, with added vitamin D",18345.0,"Rolls, dinner, oat bran",9174.0,"Loquats, raw",344.0,13.08,8.049999999999999,57.14,11.719999999999999
24,1006.0,"Cheese, brie",28171.0,"KELLOGG'S, POP-TARTS, Frosted Pumpkin Pie Toaster Pastries",9183.0,"Melons, casaba, raw",756.0,26.56,38.28,77.63,34.74
25,1219.0,"Yogurt, fruit, lowfat, with low calorie sweetener, fortified with vitamin D",18255.0,"Doughnuts, yeast-leavened, glazed, enriched (includes honey buns)",9507.0,"Juice Smoothie, NAKED JUICE, MIGHTY MANGO",589.0,11.42,24.11,81.53,38.15
26,1059.0,"Milk, filled, fluid, with blend of hydrogenated vegetable oils",18048.0,"Bread, raisin, toasted, enriched",9211.0,"Orange juice, chilled, includes from concentrate, with added calcium",407.0,12.61,8.379999999999999,72.91,14.49
27,1019.0,"Cheese, feta",8584.0,"Cereals ready-to-eat, KELLOGG'S SPECIAL K Chocolatey Delight",9322.0,"Tamarinds, raw",884.0,23.51,29.180000000000003,147.79000000000002,72.78999999999999
28,42303.0,"Cheese, muenster, low fat",28171.0,"KELLOGG'S, POP-TARTS, Frosted Pumpkin Pie Toaster Pastries",9041.0,"Bananas, dehydrated, or banana powder",1011.0,33.29,29.91,162.38,79.4
29,43274.0,"Cheese, cream, low fat",28236.0,"SUNSHINE, CHEEZ-IT, BIG Crackers",9120.0,"Grapefruit, sections, canned, juice pack, solids and liquids",745.0,19.95,41.67,74.74000000000001,15.120000000000001
