,Protein ID,Protein Descrip,Carbo1 ID,Carbo1 Descrip,Carbo2 ID,Carbo2 Descrip,Vege ID,Vege Descrip,Fruit ID,Fruit Descrip,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g
0,15178.0,"Mollusks, whelk, unspecified, cooked, moist heat",11609.0,"Beets, pickled, canned, solids and liquids",18215.0,"Crackers, cheese, sandwich-type with peanut butter filling",11567.0,"Turnips, frozen, cooked, boiled, drained, without salt",9325.0,"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids",945.0,62.83,26.34,115.25,22.92
1,1059.0,"Milk, filled, fluid, with blend of hydrogenated vegetable oils",1193.0,KRAFT BREAKSTONE'S Reduced Fat Sour Cream,18225.0,"Crackers, rye, sandwich-type with cheese filling",11380.0,"Potatoes, mashed, dehydrated, granules without milk, dry form",9420.0,"Jackfruit, canned, syrup pack",1160.0,25.61,38.440000000000005,181.49,9.870000000000001
2,10904.0,"Pork, cured, ham with natural juices, rump, bone-in, separable lean and fat, unheated",9237.0,"Peaches, canned, water pack, solids and liquids",11018.0,"Asparagus, frozen, unprepared",11447.0,"Sesbania flower, raw",9211.0,"Orange juice, chilled, includes from concentrate, with added calcium",322.0,25.330000000000002,13.709999999999999,28.64,13.55
3,1224.0,"Protein supplement, milk based, Muscle Milk Light, powder",11151.0,"Chicory, witloof, raw",28060.0,"KEEBLER, CHIPS DELUXE, Rainbow Chocolate Chip Cookies",11008.0,"Artichokes, (globe or french), cooked, boiled, drained, without salt",9383.0,"Tangerines, (mandarin oranges), canned, juice pack, drained",1006.0,59.64,37.980000000000004,112.36,46.74
4,7967.0,"Pork sausage, link/patty, fully cooked, unheated",18390.0,"Pancakes, buttermilk, prepared from recipe",1179.0,"Sour cream, light",11018.0,"Asparagus, frozen, unprepared",9286.0,"Pomegranates, raw",862.0,28.660000000000004,58.55,59.290000000000006,14.42
5,43278.0,"Cheese, american cheddar, imitation",28059.0,"KEEBLER, CHIPS DELUXE, Peanut Butter Cups Cookies",1229.0,"Cheese, white, queso blanco",11712.0,"Bamboo shoots, cooked, boiled, drained, with salt",9301.0,"Rambutan, canned, syrup pack",1161.0,45.26,67.63999999999999,97.32,39.699999999999996
6,1031.0,"Cheese, neufchatel",1251.0,"Cheese, Mexican blend",11246.0,"Leeks, (bulb and lower leaf-portion), raw",11478.0,"Squash, summer, zucchini, includes skin, cooked, boiled, drained, without salt",9133.0,"Grapes, canned, thompson seedless, water pack, solids and liquids",727.0,35.83,52.06,32.480000000000004,19.73
7,1089.0,"Milk, low sodium, fluid",20035.0,"Quinoa, uncooked",11870.0,"Squash, winter, spaghetti, cooked, boiled, drained, or baked, with salt",11567.0,"Turnips, frozen, cooked, boiled, drained, without salt",9309.0,"Rhubarb, frozen, uncooked",500.0,19.96,10.14,84.52999999999997,10.44
8,1227.0,"Cheese, dry white, queso seco",9148.0,"Kiwifruit, green, raw",20002.0,"Amaranth grain, cooked",31020.0,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated",9023.0,"Apricots, canned, water pack, without skin, solids and liquids",541.0,32.0,26.650000000000006,46.489999999999995,9.540000000000001
9,1184.0,"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener",28059.0,"KEEBLER, CHIPS DELUXE, Peanut Butter Cups Cookies",18127.0,"Cake, snack cakes, creme-filled, chocolate with frosting",11136.0,"Cauliflower, cooked, boiled, drained, without salt",9055.0,"Blueberries, frozen, sweetened",1069.0,15.729999999999999,45.59,154.67000000000002,97.26
10,7215.0,"OSCAR MAYER, Ham (water added, honey)",1237.0,"Ice cream, bar or stick, chocolate covered",28274.0,"MURRAY, Honey Graham",11943.0,"Pimento, canned",9144.0,"Jackfruit, raw",1005.0,29.519999999999996,41.739999999999995,131.65,65.19
11,10158.0,"USDA Commodity, pork, canned",11831.0,"Potatoes, boiled, cooked in skin, flesh, with salt",1200.0,Reddi Wip Fat Free Whipped Topping,11914.0,"Corn, sweet, white, frozen, kernels on cob, cooked, boiled, drained, without salt",9144.0,"Jackfruit, raw",621.0,29.099999999999998,19.429999999999996,91.3,35.95
12,5127.0,"Chicken, stewing, giblets, raw",11758.0,"Carrots, canned, no salt added, solids and liquids",11124.0,"Carrots, raw",11943.0,"Pimento, canned",9133.0,"Grapes, canned, thompson seedless, water pack, solids and liquids",295.0,21.01,10.000000000000002,32.47,19.61
13,42258.0,"Cheese product, pasteurized process, cheddar, reduced fat",11232.0,"Jute, potherb, cooked, boiled, drained, without salt",18103.0,"Coffeecake, cheese",11632.0,"Peppers, jalapeno, canned, solids and liquids",9286.0,"Pomegranates, raw",726.0,30.870000000000005,31.61,85.63,24.83
14,13327.0,"Beef, variety meats and by-products, liver, cooked, pan-fried",9514.0,"Juice Smoothie, BOLTHOUSE FARMS, BERRY BOOST",18280.0,"Muffins, corn, dry mix, prepared",11734.0,"Beets, cooked, boiled. drained, with salt",9452.0,Orange Pineapple Juice Blend,637.0,36.63999999999999,15.159999999999998,87.32000000000001,27.830000000000002
15,10982.0,"Pork, fresh, loin, blade (chops or roasts), boneless, separable lean only, raw",9106.0,"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, extra heavy syrup, solids and liquids",11497.0,"Succotash, (corn and limas), canned, with cream style corn",11119.0,"Cabbage, chinese (pe-tsai), raw",9056.0,"Boysenberries, canned, heavy syrup",392.0,26.509999999999998,4.7,66.74,1.41
16,17172.0,"Game meat, moose, raw",11249.0,"Lentils, sprouted, cooked, stir-fried, without salt",11478.0,"Squash, summer, zucchini, includes skin, cooked, boiled, drained, without salt",11467.0,"Squash, summer, crookneck and straightneck, raw",9174.0,"Loquats, raw",284.0,33.62,2.02,39.96,4.59
17,15169.0,"Mollusks, oyster, eastern, wild, cooked, moist heat",11050.0,"Beans, shellie, canned, solids and liquids",28098.0,"KEEBLER, FUDGE SHOPPE, Magic Middles Fudge Filled Cookies, Peanut Butter",11444.0,"Seaweed, irishmoss, raw",9150.0,"Lemons, raw, without peel",724.0,22.69,32.46999999999999,92.44999999999999,39.47
