,Protein ID,Protein Descrip,Carbo1 ID,Carbo1 Descrip,Carbo2 ID,Carbo2 Descrip,Vege ID,Vege Descrip,Fruit ID,Fruit Descrip,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g
0,10982.0,"Pork, fresh, loin, blade (chops or roasts), boneless, separable lean only, raw",1116.0,"Yogurt, plain, whole milk, 8 grams protein per 8 ounce",28134.0,"KEEBLER, TOASTEDS, Party Pack Cracker Assortment",11906.0,"Corn, sweet, white, canned, cream style, regular pack",9434.0,"Guanabana nectar, canned",800.0,33.17,30.620000000000005,103.43,27.14
1,1083.0,"Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D",28176.0,"KELLOGG'S, POP-TARTS, Frosted Wild Grape Toaster Pastries",18539.0,"ARCHWAY Home Style Cookies, Old Fashioned Molasses",11219.0,"Gourd, white-flowered (calabash), cooked, boiled, drained, without salt",9325.0,"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids",940.0,12.86,22.720000000000002,173.37,66.59
2,10895.0,"Pork, cured, ham, separable fat, boneless, unheated",43543.0,"Milk, imitation, non-soy",20001.0,"Amaranth grain, uncooked",11567.0,"Turnips, frozen, cooked, boiled, drained, without salt",9271.0,"Pineapple, canned, extra heavy syrup pack, solids and liquids",1038.0,24.53,62.37,98.27,9.78
3,1092.0,"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",9452.0,Orange Pineapple Juice Blend,1007.0,"Cheese, camembert",11924.0,"Soybeans, mature seeds, sprouted, cooked, stir-fried, with salt",9517.0,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",882.0,68.53,32.330000000000005,85.74,72.69
4,5661.0,"Chicken, liver, all classes, cooked, pan-fried",43312.0,"Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canned, no salt added",18486.0,"Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Frosted raspberry",11878.0,"Taro, cooked, with salt",9055.0,"Blueberries, frozen, sweetened",835.0,32.3,17.47,136.59,58.02
5,7273.0,"CARL BUDDIG, Smoked Sliced Turkey, light and dark meat",18262.0,"English muffins, raisin-cinnamon (includes apple-cinnamon)",28155.0,"KEEBLER, Waffle Bowls",11632.0,"Peppers, jalapeno, canned, solids and liquids",9226.0,"Papayas, raw",894.0,33.3,17.400000000000002,153.16,56.32
6,1129.0,"Egg, whole, cooked, hard-boiled",11484.0,"Squash, winter, acorn, cooked, boiled, mashed, without salt",43312.0,"Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canned, no salt added",11419.0,"Pumpkin leaves, cooked, boiled, drained, without salt",9293.0,"Plums, dried (prunes), stewed, with added sugar",371.0,18.46,11.33,53.49,4.220000000000001
7,7279.0,HORMEL WRANGLER Beef Franks,11711.0,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, with salt",28208.0,"MOTHER'S, Peanut Butter Gauchos Cookies",11361.0,"Potatoes, roasted, salt added in processing, frozen, unprepared",9517.0,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",969.0,23.16,49.85000000000001,109.77,46.07999999999999
8,10948.0,"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean only, raw",11831.0,"Potatoes, boiled, cooked in skin, flesh, with salt",11249.0,"Lentils, sprouted, cooked, stir-fried, without salt",11232.0,"Jute, potherb, cooked, boiled, drained, without salt",9135.0,"Grape juice, canned or bottled, unsweetened, without added ascorbic acid",402.0,35.81,4.36,63.66,16.07
9,1019.0,"Cheese, feta",18150.0,"Cookies, animal crackers (includes arrowroot, tea biscuits)",28152.0,"KEEBLER, Vanilla Wafers Minis, Rainbow",11712.0,"Bamboo shoots, cooked, boiled, drained, with salt",9415.0,"Pears, raw, green anjou",1253.0,27.080000000000002,53.699999999999996,167.8,68.22
